nodeid	seq_no	src_id	rec_time_h	rec_time_l	hop_delay_h	hop_delay_l	parent_ETD	local_ETD	delta_ETD	long_link_sender	MPD	shortcut_sender	tree_sender	insert_time	motelabMoteID	milli_time	motelabSeqNo
33	4	37	13	2229	13	2263	14	19	5	0	289	0	0	2018-07-23 10:24:25	40033	1532312665582	163
70	4	4	13	1076	13	3266	5	12	7	0	185	0	1	2018-07-23 10:24:25	40070	1532312665616	164
72	4	70	13	1489	13	1477	12	17	5	0	401	0	0	2018-07-23 10:24:25	40072	1532312665749	165
50	4	38	13	2258	13	2383	19	33	14	0	306	0	0	2018-07-23 10:24:25	40050	1532312665783	166
66	4	64	13	1761	13	2458	11	18	7	0	550	0	0	2018-07-23 10:24:25	40066	1532312665816	167
67	4	8	13	1400	13	3514	5	10	5	0	301	0	0	2018-07-23 10:24:25	40067	1532312665883	168
37	4	4	13	1974	13	3443	5	14	9	0	362	0	1	2018-07-23 10:24:25	40037	1532312665916	169
40	4	38	13	1464	13	2266	19	29	10	0	189	0	1	2018-07-23 10:24:26	40040	1532312666217	170
9	4	8	13	3659	13	3461	5	10	5	0	248	0	0	2018-07-23 10:24:26	40009	1532312666250	171
26	4	37	13	2224	13	2115	14	19	5	0	141	0	0	2018-07-23 10:24:26	40026	1532312666317	172
43	4	41	13	2151	13	3060	29	29	65535	0	65535	0	0	2018-07-23 10:24:26	40043	1532312666350	173
53	4	44	13	2094	13	2112	24	38	14	0	500	0	0	2018-07-23 10:24:26	40053	1532312666384	174
32	4	41	13	2958	13	3108	29	36	7	0	48	0	0	2018-07-23 10:24:26	40032	1532312666450	175
52	4	44	13	2542	13	2502	24	34	10	0	890	0	0	2018-07-23 10:24:26	40052	1532312666484	176
48	4	41	13	2171	13	3108	29	34	5	0	48	1	0	2018-07-23 10:24:26	40048	1532312666517	177
44	4	38	13	1612	13	2450	19	24	5	0	373	0	1	2018-07-23 10:24:26	40044	1532312666617	178
47	4	41	13	2264	13	3214	29	34	5	0	154	0	0	2018-07-23 10:24:26	40047	1532312666751	179
41	4	44	13	3059	13	2089	24	29	5	0	477	0	1	2018-07-23 10:24:26	40041	1532312666951	180
77	4	44	13	2368	13	2279	24	34	10	0	667	0	0	2018-07-23 10:24:27	40077	1532312667094	181
56	4	37	13	1695	13	2497	14	23	9	0	523	0	0	2018-07-23 10:24:27	40056	1532312667128	182
17	5	3	13	23520	13	23891	0	5	5	0	124	1	0	2018-07-23 10:24:44	40017	1532312684838	183
80	5	3	13	21434	13	23934	0	10	10	0	167	1	0	2018-07-23 10:24:44	40080	1532312684903	184
10	5	3	13	23450	13	23978	0	5	5	0	211	0	0	2018-07-23 10:24:44	40010	1532312684937	185
12	5	3	13	23556	13	24008	0	5	5	0	241	0	0	2018-07-23 10:24:44	40012	1532312684970	186
20	5	3	13	23694	13	24008	0	5	5	0	241	0	0	2018-07-23 10:24:45	40020	1532312685087	187
16	5	4	13	24015	13	23852	5	5	65535	0	58	1	0	2018-07-23 10:24:45	40016	1532312685154	188
13	5	4	13	23877	13	23911	5	19	14	0	117	0	0	2018-07-23 10:24:45	40013	1532312685187	189
